ProjectId,ProjectName,CustomerId,SolutionDomain,ContractType,StartDate,EndDate,Status,RevenueJPY,CostJPY,MarginRate,DevelopmentMethod,PlatformType
PJ055,陸奥製鋼様 品質データ分析基盤のPoC,CU15,データ基盤,ライセンス+SI,2026-06-12,2026-11-30,進行中,79380000,61122600,0.23,アジャイル,Azure
PJ056,東西電力様 エネルギー設備投資シミュレーション基盤,CU27,AI,準委任,2025-11-01,2027-01-27,進行中,231600000,188522400,0.186,ハイブリッド,Azure
PJ057,浪速機械工業様 生産管理システム再構築,CU13,基幹,請負,2026-01-19,2027-01-16,進行中,433660000,368177340,0.151,ウォーターフォール,Azure/オンプレ混在
PJ058,大和精密工業様 Copilot活用による営業提案高度化,CU02,AI,準委任,2026-04-02,2026-11-03,進行中,141270000,111462030,0.211,アジャイル,Azure/オンプレ混在
PJ059,山陽ストアーズ様 サプライチェーンリスク分析基盤,CU05,データ基盤,ライセンス+SI,2026-03-06,2026-11-26,進行中,35860000,27253600,0.24,ハイブリッド,Azure
PJ060,信州電子工業様 生成AIプラットフォーム全社展開支援,CU14,AI,準委任,2026-01-24,2026-11-06,進行中,257360000,226476800,0.12,ウォーターフォール,Azure/オンプレ混在
PJ061,瀬戸内商事様 販売分析データマート再構築,CU19,データ基盤,請負,2026-03-03,2026-12-27,進行中,104460000,76151340,0.271,アジャイル,Azure/オンプレ混在
PJ062,東海マテリアル様 生成AIによる設計レビュー支援,CU12,AI,準委任,2026-06-17,2027-04-05,進行中,198010000,159200040,0.196,ハイブリッド,Azure/オンプレ混在
PJ063,湘南マート様 Fabricレイクハウス移行支援,CU17,データ基盤,ライセンス+SI,2025-10-08,2026-10-24,進行中,366710000,330039000,0.1,ウォーターフォール,Azure
PJ064,北都百貨店様 需要予測基盤の本番展開,CU18,AI,準委任,2025-11-18,2027-01-09,進行中,363680000,317128960,0.128,アジャイル,Azure/オンプレ混在
PJ065,浪速機械工業様 生成AIによる保全ナレッジ検索,CU13,AI,請負,2026-06-04,2026-12-14,進行中,222120000,176363280,0.206,ハイブリッド,Azure
PJ066,東西電力様 顧客データ統合基盤の構築,CU27,データ基盤,準委任,2026-02-20,2027-02-04,進行中,77040000,61169760,0.206,ウォーターフォール,Azure
PJ067,さくら製薬様 AIOps導入による運用高度化,CU30,クラウド,ライセンス+SI,2025-10-21,2027-01-15,進行中,224480000,170604800,0.24,アジャイル,Azure
PJ068,浜名川県庁様 生成AIによる文書点検自動化,CU25,AI,準委任,2025-12-30,2027-03-16,進行中,403330000,336377220,0.166,ハイブリッド,Azure
PJ069,あかつき証券様 経営管理データ基盤の刷新,CU22,データ基盤,請負,2025-11-11,2026-11-07,進行中,73070000,54948640,0.248,ウォーターフォール,Azure
PJ070,山陽ストアーズ様 販売実績ダッシュボードの統合,CU05,BI,準委任,2026-02-15,2027-01-23,進行中,300910000,230497060,0.234,アジャイル,Azure/オンプレ混在
PJ071,陸奥製鋼様 原価管理レポートの標準化,CU15,BI,ライセンス+SI,2025-10-24,2027-04-22,進行中,264740000,194054420,0.267,ハイブリッド,Azure/オンプレ混在
PJ072,つばさ損害保険様 経営KPIの可視化基盤構築,CU07,BI,準委任,2026-03-28,2027-05-26,進行中,445470000,334547970,0.249,ウォーターフォール,Azure
PJ073,浜名川県庁様 データ利活用ポリシーの策定支援,CU25,ガバナンス,請負,2026-01-04,2026-12-02,進行中,398700000,305802900,0.233,アジャイル,Azure
PJ074,つばさ損害保険様 個人情報の取り扱い基準整備,CU07,ガバナンス,準委任,2026-06-13,2026-12-13,進行中,243940000,161244340,0.339,ハイブリッド,Azure/オンプレ混在
PJ075,浜名川県庁様 DX推進ロードマップの策定,CU25,コンサル,ライセンス+SI,2025-11-30,2027-03-14,進行中,248680000,170097120,0.316,ウォーターフォール,Azure
PJ076,瀬戸内商事様 業務プロセス再設計の支援,CU19,コンサル,準委任,2025-12-21,2027-03-31,進行中,237160000,152019560,0.359,アジャイル,Azure/オンプレ混在
PJ077,北斗重工業様 生産管理システムの刷新構想策定,CU01,基幹,請負,2025-09-18,2026-10-15,進行中,218440000,162082480,0.258,ハイブリッド,Azure
PJ078,みらいリテール様 販売管理システムのリプレース,CU04,基幹,準委任,2026-02-02,2027-04-03,進行中,273410000,214626850,0.215,ウォーターフォール,Azure
PJ079,陸奥製鋼様 生成AIによる技能継承ナレッジ検索基盤構築,CU15,AI,ライセンス+SI,2026-11-04,2027-11-22,計画中,271460000,231283920,0.148,アジャイル,Azure/オンプレ混在
PJ080,帝都物流様 Microsoft Fabricによる全社データ基盤構築,CU10,データ基盤,準委任,2026-10-03,2027-07-22,計画中,219980000,163885100,0.255,ハイブリッド,Azure
PJ081,瀬戸内商事様 Databricksによる需要予測モデル開発,CU19,AI,請負,2026-09-25,2027-02-28,計画中,65850000,52943400,0.196,ウォーターフォール,Azure/オンプレ混在
PJ082,駿河フーズ様 生成AI活用による問い合わせ対応自動化,CU16,AI,準委任,2026-09-25,2027-05-01,計画中,380230000,331560560,0.128,アジャイル,Azure/オンプレ混在
PJ083,瀬戸内商事様 基幹システムのクラウドリフト,CU19,クラウド,ライセンス+SI,2026-09-08,2027-09-12,計画中,396440000,315169800,0.205,ハイブリッド,Azure/オンプレ混在
PJ084,あかつき証券様 Power BIによる経営ダッシュボード整備,CU22,BI,準委任,2026-09-12,2027-06-24,計画中,231870000,163932090,0.293,ウォーターフォール,Azure
PJ085,北斗重工業様 設備保全予知モデルのPoC,CU01,AI,請負,2026-10-25,2027-09-20,計画中,238090000,185948290,0.219,アジャイル,Azure
PJ086,瀬戸内商事様 SCM可視化基盤の刷新,CU19,データ基盤,準委任,2026-09-18,2027-10-06,計画中,103410000,75075660,0.274,ハイブリッド,Azure
PJ087,あかつき証券様 勘定系周辺システムのモダナイゼーション,CU22,クラウド,ライセンス+SI,2026-09-04,2027-04-19,計画中,110510000,81998420,0.258,ウォーターフォール,Azure
PJ088,山陽ストアーズ様 データガバナンス整備とPurview導入,CU05,ガバナンス,準委任,2026-10-10,2027-08-10,計画中,75110000,49647710,0.339,アジャイル,Azure
PJ089,あかつき証券様 生成AIによる査定業務支援システム,CU22,AI,請負,2026-10-23,2027-03-28,計画中,203040000,154716480,0.238,ハイブリッド,Azure
PJ090,浜名川県庁様 住民向けチャットボット構築,CU25,AI,準委任,2026-11-02,2027-06-23,計画中,257750000,225789000,0.124,ウォーターフォール,Azure
PJ091,帝都物流様 配車計画最適化ソリューション導入,CU10,AI,ライセンス+SI,2026-09-18,2027-05-02,計画中,416390000,367255980,0.118,アジャイル,Azure/オンプレ混在
PJ092,さくら製薬様 研究データ統合分析基盤の構築,CU30,データ基盤,準委任,2026-08-23,2027-04-13,計画中,34990000,26207510,0.251,ハイブリッド,Azure
PJ093,みらいリテール様 店舗オペレーション標準化支援,CU04,コンサル,請負,2026-11-12,2027-11-01,計画中,254850000,168455850,0.339,ウォーターフォール,Azure
