AssignmentId,PersonId,ProjectId,ProjectRole,StartDate,EndDate,AllocationPercent,ContributionResult
AS0056,P176,PJ018,業務コンサルタント,2024-02-14,2024-08-21,30,課題あり
AS0057,P083,PJ018,インフラエンジニア,2024-02-14,2024-08-21,30,高評価
AS0058,P055,PJ018,テックリード,2024-02-14,2024-08-21,100,目標達成
AS0059,P115,PJ018,AIエンジニア,2024-02-14,2024-08-21,80,課題あり
AS0060,P176,PJ017,AIエンジニア,2024-02-26,2025-03-07,100,高評価
AS0061,P103,PJ017,PM,2024-02-26,2025-03-07,20,高評価
AS0062,P163,PJ017,アーキテクト,2024-02-26,2025-03-07,20,目標達成
AS0063,P113,PJ017,インフラエンジニア,2024-02-26,2025-03-07,30,高評価
AS0064,P020,PJ017,テックリード,2024-02-26,2025-03-07,100,目標達成
AS0065,P026,PJ017,品質管理,2024-02-26,2025-03-07,50,目標達成
AS0066,P147,PJ034,インフラエンジニア,2024-02-27,2024-10-26,50,目標達成
AS0067,P078,PJ034,PM,2024-02-27,2024-10-26,30,高評価
AS0068,P030,PJ034,AIエンジニア,2024-02-27,2024-10-26,80,目標達成
AS0069,P142,PJ034,品質管理,2024-02-27,2024-10-26,50,目標達成
AS0070,P156,PJ034,アーキテクト,2024-02-27,2024-10-26,30,高評価
AS0071,P124,PJ034,テックリード,2024-02-27,2024-10-26,80,高評価
AS0072,P125,PJ034,業務コンサルタント,2024-02-27,2024-10-26,20,目標達成
AS0073,P045,PJ011,業務コンサルタント,2024-03-11,2024-09-29,50,課題あり
AS0074,P173,PJ011,PM,2024-03-11,2024-09-29,30,目標達成
AS0075,P053,PJ011,テックリード,2024-03-11,2024-09-29,80,目標達成
AS0076,P116,PJ011,品質管理,2024-03-11,2024-09-29,50,目標達成
AS0077,P090,PJ011,AIエンジニア,2024-03-11,2024-09-29,100,目標達成
AS0078,P124,PJ025,データエンジニア,2024-04-10,2025-05-09,80,目標達成
AS0079,P020,PJ025,インフラエンジニア,2024-04-10,2025-05-09,30,目標達成
AS0080,P195,PJ025,品質管理,2024-04-10,2025-05-09,30,課題あり
AS0081,P165,PJ025,アプリ開発,2024-04-10,2025-05-09,80,課題あり
AS0082,P093,PJ025,テックリード,2024-04-10,2025-05-09,80,課題あり
AS0083,P153,PJ025,業務コンサルタント,2024-04-10,2025-05-09,50,高評価
AS0084,P187,PJ025,AIエンジニア,2024-04-10,2025-05-09,100,目標達成
AS0085,P075,PJ025,PM,2024-04-10,2025-05-09,30,目標達成
AS0086,P144,PJ025,アーキテクト,2024-04-10,2025-05-09,30,課題あり
AS0087,P188,PJ037,PM,2024-04-18,2025-02-11,50,目標達成
AS0088,P127,PJ037,アプリ開発,2024-04-18,2025-02-11,100,目標達成
AS0089,P079,PJ037,アーキテクト,2024-04-18,2025-02-11,50,課題あり
AS0090,P145,PJ037,業務コンサルタント,2024-04-18,2025-02-11,50,目標達成
AS0091,P152,PJ037,データエンジニア,2024-04-18,2025-02-11,80,目標達成
AS0092,P054,PJ037,インフラエンジニア,2024-04-18,2025-02-11,20,目標達成
AS0093,P090,PJ001,インフラエンジニア,2024-04-24,2024-11-03,50,高評価
AS0094,P083,PJ001,AIエンジニア,2024-04-24,2024-11-03,100,高評価
AS0095,P124,PJ001,品質管理,2024-04-24,2024-11-03,20,目標達成
AS0096,P105,PJ001,データエンジニア,2024-04-24,2024-11-03,80,課題あり
AS0097,P070,PJ001,アプリ開発,2024-04-24,2024-11-03,80,目標達成
AS0098,P101,PJ001,PM,2024-04-24,2024-11-03,30,課題あり
AS0099,P093,PJ001,アーキテクト,2024-04-24,2024-11-03,20,課題あり
AS0100,P097,PJ001,テックリード,2024-04-24,2024-11-03,100,課題あり
AS0101,P113,PJ013,業務コンサルタント,2024-05-26,2025-03-19,50,目標達成
AS0102,P137,PJ013,アーキテクト,2024-05-26,2025-03-19,50,目標達成
AS0103,P003,PJ013,インフラエンジニア,2024-05-26,2025-03-19,30,高評価
AS0104,P190,PJ013,データエンジニア,2024-05-26,2025-03-19,80,目標達成
AS0105,P063,PJ013,テックリード,2024-05-26,2025-03-19,100,高評価
AS0106,P095,PJ013,AIエンジニア,2024-05-26,2025-03-19,100,課題あり
AS0107,P144,PJ013,PM,2024-05-26,2025-03-19,30,課題あり
AS0108,P116,PJ013,アプリ開発,2024-05-26,2025-03-19,100,課題あり
AS0109,P115,PJ013,品質管理,2024-05-26,2025-03-19,20,目標達成
AS0110,P103,PJ027,テックリード,2024-05-29,2024-11-11,100,目標達成
AS0111,P032,PJ027,インフラエンジニア,2024-05-29,2024-11-11,50,目標達成
AS0112,P156,PJ027,AIエンジニア,2024-05-29,2024-11-11,100,課題あり
AS0113,P184,PJ027,アプリ開発,2024-05-29,2024-11-11,80,高評価
AS0114,P051,PJ027,アーキテクト,2024-05-29,2024-11-11,30,目標達成
AS0115,P101,PJ022,AIエンジニア,2024-07-11,2024-12-20,80,課題あり
AS0116,P086,PJ022,アーキテクト,2024-07-11,2024-12-20,30,目標達成
AS0117,P128,PJ022,アプリ開発,2024-07-11,2024-12-20,100,課題あり
AS0118,P154,PJ022,品質管理,2024-07-11,2024-12-20,50,課題あり
AS0119,P107,PJ022,テックリード,2024-07-11,2024-12-20,80,目標達成
AS0120,P124,PJ022,PM,2024-07-11,2024-12-20,50,課題あり
AS0121,P046,PJ022,データエンジニア,2024-07-11,2024-12-20,80,課題あり
AS0122,P050,PJ022,インフラエンジニア,2024-07-11,2024-12-20,20,課題あり
AS0123,P042,PJ022,業務コンサルタント,2024-07-11,2024-12-20,30,目標達成
AS0124,P078,PJ033,品質管理,2024-08-08,2025-05-15,50,高評価
AS0125,P126,PJ033,データエンジニア,2024-08-08,2025-05-15,100,目標達成
AS0126,P171,PJ033,業務コンサルタント,2024-08-08,2025-05-15,20,高評価
AS0127,P173,PJ033,テックリード,2024-08-08,2025-05-15,80,高評価
AS0128,P170,PJ033,PM,2024-08-08,2025-05-15,30,課題あり
AS0129,P047,PJ033,アプリ開発,2024-08-08,2025-05-15,100,目標達成
AS0130,P133,PJ033,インフラエンジニア,2024-08-08,2025-05-15,30,高評価
AS0131,P113,PJ028,業務コンサルタント,2024-09-16,2025-04-11,30,目標達成
AS0132,P190,PJ028,テックリード,2024-09-16,2025-04-11,80,高評価
AS0133,P090,PJ028,品質管理,2024-09-16,2025-04-11,20,課題あり
AS0134,P155,PJ028,データエンジニア,2024-09-16,2025-04-11,80,課題あり
AS0135,P112,PJ028,インフラエンジニア,2024-09-16,2025-04-11,30,高評価
AS0136,P097,PJ028,PM,2024-09-16,2025-04-11,20,目標達成
AS0137,P180,PJ028,アーキテクト,2024-09-16,2025-04-11,50,課題あり
AS0138,P037,PJ028,AIエンジニア,2024-09-16,2025-04-11,80,高評価
AS0139,P195,PJ005,テックリード,2024-09-26,2025-03-02,80,目標達成
AS0140,P070,PJ005,データエンジニア,2024-09-26,2025-03-02,80,課題あり
AS0141,P137,PJ005,品質管理,2024-09-26,2025-03-02,50,目標達成
AS0142,P185,PJ005,業務コンサルタント,2024-09-26,2025-03-02,30,高評価
AS0143,P053,PJ005,アーキテクト,2024-09-26,2025-03-02,20,目標達成
AS0144,P176,PJ021,アプリ開発,2024-10-15,2025-10-26,100,高評価
AS0145,P137,PJ021,品質管理,2024-10-15,2025-10-26,50,高評価
AS0146,P086,PJ021,業務コンサルタント,2024-10-15,2025-10-26,30,課題あり
AS0147,P184,PJ021,インフラエンジニア,2024-10-15,2025-10-26,20,課題あり
AS0148,P063,PJ021,テックリード,2024-10-15,2025-10-26,80,課題あり
AS0149,P094,PJ021,PM,2024-10-15,2025-10-26,30,高評価
AS0150,P081,PJ021,データエンジニア,2024-10-15,2025-10-26,80,目標達成
AS0151,P149,PJ021,AIエンジニア,2024-10-15,2025-10-26,80,目標達成
AS0152,P156,PJ012,アプリ開発,2024-10-22,2025-06-12,100,課題あり
AS0153,P007,PJ012,PM,2024-10-22,2025-06-12,50,目標達成
AS0154,P095,PJ012,データエンジニア,2024-10-22,2025-06-12,80,目標達成
AS0155,P158,PJ012,アーキテクト,2024-10-22,2025-06-12,20,課題あり
AS0156,P087,PJ012,テックリード,2024-10-22,2025-06-12,100,課題あり
AS0157,P003,PJ012,インフラエンジニア,2024-10-22,2025-06-12,30,目標達成
AS0158,P081,PJ012,品質管理,2024-10-22,2025-06-12,50,高評価
AS0159,P051,PJ035,アプリ開発,2024-11-08,2025-08-06,80,目標達成
AS0160,P136,PJ035,AIエンジニア,2024-11-08,2025-08-06,100,目標達成
AS0161,P184,PJ035,PM,2024-11-08,2025-08-06,20,目標達成
AS0162,P065,PJ035,アーキテクト,2024-11-08,2025-08-06,30,目標達成
AS0163,P113,PJ035,データエンジニア,2024-11-08,2025-08-06,100,課題あり
AS0164,P002,PJ035,インフラエンジニア,2024-11-08,2025-08-06,20,目標達成
AS0165,P169,PJ035,テックリード,2024-11-08,2025-08-06,80,目標達成
AS0166,P112,PJ003,業務コンサルタント,2024-11-13,2025-11-21,50,課題あり
AS0167,P097,PJ003,インフラエンジニア,2024-11-13,2025-11-21,20,課題あり
AS0168,P068,PJ003,AIエンジニア,2024-11-13,2025-11-21,80,目標達成
AS0169,P082,PJ003,PM,2024-11-13,2025-11-21,30,課題あり
AS0170,P094,PJ003,テックリード,2024-11-13,2025-11-21,80,目標達成
AS0171,P080,PJ010,品質管理,2024-11-14,2025-06-06,30,課題あり
AS0172,P144,PJ010,業務コンサルタント,2024-11-14,2025-06-06,30,目標達成
AS0173,P005,PJ010,インフラエンジニア,2024-11-14,2025-06-06,30,高評価
AS0174,P055,PJ010,PM,2024-11-14,2025-06-06,50,課題あり
AS0175,P037,PJ010,AIエンジニア,2024-11-14,2025-06-06,80,課題あり
AS0176,P020,PJ023,テックリード,2024-12-10,2025-07-19,100,目標達成
AS0177,P195,PJ023,AIエンジニア,2024-12-10,2025-07-19,80,目標達成
AS0178,P073,PJ023,業務コンサルタント,2024-12-10,2025-07-19,50,目標達成
AS0179,P001,PJ023,インフラエンジニア,2024-12-10,2025-07-19,20,課題あり
AS0180,P190,PJ023,データエンジニア,2024-12-10,2025-07-19,80,高評価
AS0181,P183,PJ023,品質管理,2024-12-10,2025-07-19,20,課題あり
AS0182,P167,PJ023,アーキテクト,2024-12-10,2025-07-19,50,高評価
AS0183,P055,PJ023,PM,2024-12-10,2025-07-19,30,課題あり
AS0184,P167,PJ039,テックリード,2025-01-11,2025-08-26,100,目標達成
AS0185,P168,PJ039,アプリ開発,2025-01-11,2025-08-26,100,目標達成
AS0186,P035,PJ039,アーキテクト,2025-01-11,2025-08-26,30,目標達成
AS0187,P044,PJ039,品質管理,2025-01-11,2025-08-26,30,目標達成
AS0188,P196,PJ039,データエンジニア,2025-01-11,2025-08-26,100,高評価
AS0189,P046,PJ015,業務コンサルタント,2025-02-18,2026-01-09,20,目標達成
AS0190,P185,PJ015,PM,2025-02-18,2026-01-09,20,目標達成
AS0191,P177,PJ015,アーキテクト,2025-02-18,2026-01-09,20,課題あり
AS0192,P036,PJ015,アプリ開発,2025-02-18,2026-01-09,100,課題あり
AS0193,P126,PJ015,テックリード,2025-02-18,2026-01-09,80,目標達成
AS0194,P145,PJ015,品質管理,2025-02-18,2026-01-09,50,課題あり
AS0195,P122,PJ032,インフラエンジニア,2025-03-11,2025-08-22,50,高評価
AS0196,P113,PJ032,アプリ開発,2025-03-11,2025-08-22,80,高評価
AS0197,P010,PJ032,品質管理,2025-03-11,2025-08-22,20,目標達成
AS0198,P101,PJ032,PM,2025-03-11,2025-08-22,50,目標達成
AS0199,P152,PJ032,データエンジニア,2025-03-11,2025-08-22,100,課題あり
AS0200,P163,PJ032,テックリード,2025-03-11,2025-08-22,100,目標達成
AS0201,P097,PJ032,アーキテクト,2025-03-11,2025-08-22,50,目標達成
AS0202,P080,PJ032,AIエンジニア,2025-03-11,2025-08-22,100,高評価
AS0203,P183,PJ032,業務コンサルタント,2025-03-11,2025-08-22,50,目標達成
AS0204,P086,PJ020,PM,2025-03-23,2025-08-30,20,課題あり
AS0205,P189,PJ020,AIエンジニア,2025-03-23,2025-08-30,80,課題あり
AS0206,P079,PJ020,アプリ開発,2025-03-23,2025-08-30,100,目標達成
AS0207,P051,PJ020,テックリード,2025-03-23,2025-08-30,100,目標達成
AS0208,P148,PJ020,アーキテクト,2025-03-23,2025-08-30,50,目標達成
AS0209,P115,PJ020,業務コンサルタント,2025-03-23,2025-08-30,20,高評価
AS0210,P196,PJ020,インフラエンジニア,2025-03-23,2025-08-30,50,高評価
AS0211,P165,PJ020,品質管理,2025-03-23,2025-08-30,20,目標達成
AS0212,P016,PJ006,テックリード,2025-03-29,2026-03-10,80,課題あり
AS0213,P073,PJ006,データエンジニア,2025-03-29,2026-03-10,100,目標達成
AS0214,P032,PJ006,インフラエンジニア,2025-03-29,2026-03-10,30,高評価
AS0215,P191,PJ006,品質管理,2025-03-29,2026-03-10,50,目標達成
AS0216,P113,PJ006,AIエンジニア,2025-03-29,2026-03-10,80,目標達成
AS0217,P078,PJ006,アプリ開発,2025-03-29,2026-03-10,100,高評価
AS0218,P065,PJ006,PM,2025-03-29,2026-03-10,20,高評価
AS0219,P114,PJ006,アーキテクト,2025-03-29,2026-03-10,30,目標達成
AS0220,P122,PJ016,AIエンジニア,2025-03-29,2025-12-04,80,高評価
AS0221,P065,PJ016,PM,2025-03-29,2025-12-04,30,目標達成
AS0222,P116,PJ016,データエンジニア,2025-03-29,2025-12-04,100,目標達成
AS0223,P102,PJ016,品質管理,2025-03-29,2025-12-04,20,目標達成
AS0224,P035,PJ016,テックリード,2025-03-29,2025-12-04,100,目標達成
AS0225,P107,PJ002,品質管理,2025-03-31,2026-02-10,20,目標達成
AS0226,P050,PJ002,AIエンジニア,2025-03-31,2026-02-10,80,目標達成
AS0227,P192,PJ002,アーキテクト,2025-03-31,2026-02-10,50,課題あり
AS0228,P119,PJ002,データエンジニア,2025-03-31,2026-02-10,80,課題あり
AS0229,P161,PJ002,テックリード,2025-03-31,2026-02-10,80,高評価
AS0230,P137,PJ019,アーキテクト,2025-04-23,2025-12-10,50,課題あり
AS0231,P122,PJ019,データエンジニア,2025-04-23,2025-12-10,80,目標達成
AS0232,P139,PJ019,アプリ開発,2025-04-23,2025-12-10,80,高評価
AS0233,P124,PJ019,品質管理,2025-04-23,2025-12-10,30,課題あり
AS0234,P053,PJ019,テックリード,2025-04-23,2025-12-10,100,目標達成
AS0235,P092,PJ019,業務コンサルタント,2025-04-23,2025-12-10,50,高評価
AS0236,P092,PJ007,AIエンジニア,2025-04-30,2026-03-07,100,目標達成
AS0237,P094,PJ007,データエンジニア,2025-04-30,2026-03-07,80,目標達成
AS0238,P003,PJ007,アプリ開発,2025-04-30,2026-03-07,80,目標達成
AS0239,P160,PJ007,品質管理,2025-04-30,2026-03-07,50,高評価
AS0240,P167,PJ007,アーキテクト,2025-04-30,2026-03-07,30,高評価
AS0241,P093,PJ007,PM,2025-04-30,2026-03-07,30,高評価
AS0242,P127,PJ031,アプリ開発,2025-05-06,2025-10-30,80,課題あり
AS0243,P177,PJ031,テックリード,2025-05-06,2025-10-30,100,課題あり
AS0244,P102,PJ031,品質管理,2025-05-06,2025-10-30,50,課題あり
AS0245,P088,PJ031,データエンジニア,2025-05-06,2025-10-30,80,目標達成
AS0246,P005,PJ031,業務コンサルタント,2025-05-06,2025-10-30,30,目標達成
AS0247,P198,PJ031,インフラエンジニア,2025-05-06,2025-10-30,50,目標達成
AS0248,P001,PJ031,アーキテクト,2025-05-06,2025-10-30,20,高評価
AS0249,P174,PJ009,PM,2025-05-27,2026-05-16,20,目標達成
AS0250,P192,PJ009,品質管理,2025-05-27,2026-05-16,30,目標達成
AS0251,P063,PJ009,アーキテクト,2025-05-27,2026-05-16,30,目標達成
AS0252,P102,PJ009,業務コンサルタント,2025-05-27,2026-05-16,20,目標達成
AS0253,P082,PJ009,テックリード,2025-05-27,2026-05-16,80,目標達成
AS0254,P123,PJ009,インフラエンジニア,2025-05-27,2026-05-16,50,高評価
AS0255,P179,PJ009,AIエンジニア,2025-05-27,2026-05-16,100,課題あり
AS0256,P097,PJ009,アプリ開発,2025-05-27,2026-05-16,100,目標達成
AS0257,P083,PJ004,業務コンサルタント,2025-06-02,2026-03-09,50,目標達成
AS0258,P195,PJ004,PM,2025-06-02,2026-03-09,30,目標達成
AS0259,P070,PJ004,データエンジニア,2025-06-02,2026-03-09,100,目標達成
AS0260,P082,PJ004,インフラエンジニア,2025-06-02,2026-03-09,30,課題あり
AS0261,P051,PJ004,テックリード,2025-06-02,2026-03-09,100,目標達成
AS0262,P093,PJ004,アプリ開発,2025-06-02,2026-03-09,100,課題あり
AS0263,P193,PJ004,AIエンジニア,2025-06-02,2026-03-09,80,目標達成
AS0264,P001,PJ004,アーキテクト,2025-06-02,2026-03-09,50,課題あり
AS0265,P082,PJ077,品質管理,2025-09-18,2026-10-15,20,高評価
AS0266,P121,PJ077,インフラエンジニア,2025-09-18,2026-10-15,50,目標達成
AS0267,P187,PJ077,AIエンジニア,2025-09-18,2026-10-15,80,目標達成
AS0268,P131,PJ077,データエンジニア,2025-09-18,2026-10-15,80,目標達成
AS0269,P130,PJ077,業務コンサルタント,2025-09-18,2026-10-15,50,課題あり
AS0270,P107,PJ063,アーキテクト,2025-10-08,2026-10-24,50,課題あり
AS0271,P054,PJ063,インフラエンジニア,2025-10-08,2026-10-24,30,目標達成
AS0272,P067,PJ063,業務コンサルタント,2025-10-08,2026-10-24,20,課題あり
AS0273,P176,PJ067,インフラエンジニア,2025-10-21,2027-01-15,20,課題あり
AS0274,P190,PJ067,アーキテクト,2025-10-21,2027-01-15,20,目標達成
AS0275,P182,PJ067,業務コンサルタント,2025-10-21,2027-01-15,50,高評価
AS0276,P062,PJ067,PM,2025-10-21,2027-01-15,30,高評価
AS0277,P022,PJ067,品質管理,2025-10-21,2027-01-15,30,課題あり
AS0278,P010,PJ071,品質管理,2025-10-24,2027-04-22,20,目標達成
AS0279,P029,PJ071,業務コンサルタント,2025-10-24,2027-04-22,20,課題あり
AS0280,P112,PJ071,PM,2025-10-24,2027-04-22,50,高評価
AS0281,P120,PJ071,アプリ開発,2025-10-24,2027-04-22,80,高評価
AS0282,P061,PJ054,アーキテクト,2025-10-25,2027-01-09,30,高評価
AS0283,P099,PJ054,データエンジニア,2025-10-25,2027-01-09,80,目標達成
AS0284,P042,PJ054,業務コンサルタント,2025-10-25,2027-01-09,30,高評価
AS0285,P145,PJ054,アプリ開発,2025-10-25,2027-01-09,80,課題あり
AS0286,P168,PJ054,インフラエンジニア,2025-10-25,2027-01-09,50,目標達成
AS0287,P123,PJ056,PM,2025-11-01,2027-01-27,50,課題あり
AS0288,P003,PJ056,品質管理,2025-11-01,2027-01-27,20,目標達成
AS0289,P117,PJ056,インフラエンジニア,2025-11-01,2027-01-27,30,目標達成
AS0290,P002,PJ056,業務コンサルタント,2025-11-01,2027-01-27,30,目標達成
AS0291,P082,PJ056,アーキテクト,2025-11-01,2027-01-27,20,高評価
AS0292,P170,PJ048,業務コンサルタント,2025-11-08,2027-05-17,20,目標達成
AS0293,P136,PJ048,アーキテクト,2025-11-08,2027-05-17,30,目標達成
AS0294,P138,PJ048,品質管理,2025-11-08,2027-05-17,30,課題あり
AS0295,P045,PJ048,データエンジニア,2025-11-08,2027-05-17,80,目標達成
AS0296,P159,PJ048,PM,2025-11-08,2027-05-17,50,目標達成
AS0297,P081,PJ069,インフラエンジニア,2025-11-11,2026-11-07,50,目標達成
AS0298,P190,PJ069,業務コンサルタント,2025-11-11,2026-11-07,20,目標達成
AS0299,P200,PJ069,アーキテクト,2025-11-11,2026-11-07,20,目標達成
AS0300,P063,PJ069,PM,2025-11-11,2026-11-07,20,高評価
AS0301,P189,PJ069,データエンジニア,2025-11-11,2026-11-07,80,高評価
AS0302,P009,PJ044,インフラエンジニア,2025-11-16,2027-03-24,20,目標達成
AS0303,P127,PJ044,品質管理,2025-11-16,2027-03-24,20,高評価
AS0304,P115,PJ044,業務コンサルタント,2025-11-16,2027-03-24,20,目標達成
AS0305,P043,PJ044,アプリ開発,2025-11-16,2027-03-24,80,高評価
AS0306,P128,PJ044,データエンジニア,2025-11-16,2027-03-24,80,目標達成
AS0307,P037,PJ064,品質管理,2025-11-18,2027-01-09,20,目標達成
AS0308,P158,PJ064,アーキテクト,2025-11-18,2027-01-09,20,課題あり
AS0309,P001,PJ064,PM,2025-11-18,2027-01-09,20,高評価
AS0310,P026,PJ064,業務コンサルタント,2025-11-18,2027-01-09,20,目標達成
AS0311,P155,PJ040,品質管理,2025-11-19,2027-05-01,50,高評価
AS0312,P090,PJ040,業務コンサルタント,2025-11-19,2027-05-01,30,課題あり
AS0313,P006,PJ040,データエンジニア,2025-11-19,2027-05-01,80,課題あり
AS0314,P158,PJ040,PM,2025-11-19,2027-05-01,30,目標達成
AS0315,P039,PJ075,アーキテクト,2025-11-30,2027-03-14,30,高評価
AS0316,P125,PJ075,アプリ開発,2025-11-30,2027-03-14,80,高評価
AS0317,P064,PJ075,品質管理,2025-11-30,2027-03-14,20,目標達成
AS0318,P108,PJ075,PM,2025-11-30,2027-03-14,30,目標達成
AS0319,P181,PJ075,インフラエンジニア,2025-11-30,2027-03-14,30,課題あり
AS0320,P042,PJ076,インフラエンジニア,2025-12-21,2027-03-31,20,目標達成
AS0321,P169,PJ076,アーキテクト,2025-12-21,2027-03-31,50,高評価
AS0322,P036,PJ076,データエンジニア,2025-12-21,2027-03-31,80,目標達成
AS0323,P064,PJ076,業務コンサルタント,2025-12-21,2027-03-31,30,目標達成
AS0324,P061,PJ076,PM,2025-12-21,2027-03-31,30,目標達成
AS0325,P126,PJ076,品質管理,2025-12-21,2027-03-31,30,目標達成
AS0326,P192,PJ068,PM,2025-12-30,2027-03-16,50,目標達成
AS0327,P081,PJ068,品質管理,2025-12-30,2027-03-16,30,課題あり
AS0328,P063,PJ068,アーキテクト,2025-12-30,2027-03-16,20,目標達成
AS0329,P113,PJ068,業務コンサルタント,2025-12-30,2027-03-16,50,高評価
AS0330,P070,PJ068,インフラエンジニア,2025-12-30,2027-03-16,30,高評価
AS0331,P198,PJ045,アプリ開発,2026-01-01,2026-12-05,80,目標達成
AS0332,P126,PJ045,品質管理,2026-01-01,2026-12-05,20,目標達成
AS0333,P075,PJ045,アーキテクト,2026-01-01,2026-12-05,50,高評価
AS0334,P173,PJ045,業務コンサルタント,2026-01-01,2026-12-05,30,目標達成
AS0335,P199,PJ045,インフラエンジニア,2026-01-01,2026-12-05,50,高評価
AS0336,P171,PJ050,インフラエンジニア,2026-01-02,2027-04-25,30,目標達成
AS0337,P085,PJ050,PM,2026-01-02,2027-04-25,20,課題あり
AS0338,P050,PJ050,品質管理,2026-01-02,2027-04-25,20,高評価
AS0339,P032,PJ050,業務コンサルタント,2026-01-02,2027-04-25,20,高評価
AS0340,P020,PJ050,アーキテクト,2026-01-02,2027-04-25,20,課題あり
AS0341,P007,PJ073,アーキテクト,2026-01-04,2026-12-02,20,高評価
AS0342,P152,PJ073,AIエンジニア,2026-01-04,2026-12-02,80,目標達成
AS0343,P162,PJ073,インフラエンジニア,2026-01-04,2026-12-02,30,高評価
AS0344,P124,PJ073,PM,2026-01-04,2026-12-02,50,高評価
