KnowledgeId,ProjectId,KnowledgeType,Title,Summary,Tags,AuthorPersonId,RegisteredDate,ReuseValue
KN0034,PJ010,LessonsLearned,[データガバナンス整備とPurview導入] 顧客側の合意形成にかかる期間を、当初の見積りの2倍で見ておくべきだった,顧客側の合意形成にかかる期間を、当初の見積りの2倍で見ておくべきだった,"ガバナンス,合意形成",P080,2025-04-08,高
KN0035,PJ010,LessonsLearned,[データガバナンス整備とPurview導入] 現場用語の定義が曖昧なまま開発に入り、精度改善に想定外の工数がかかった,現場用語の定義が曖昧なまま開発に入り、精度改善に想定外の工数がかかった,"生成AI,製造,用語",P037,2025-03-22,低
KN0036,PJ010,BestPractice,[データガバナンス整備とPurview導入] RAG案件では、前処理方式の検証を設計より前に置くほうが結果的に早い,RAG案件では、前処理方式の検証を設計より前に置くほうが結果的に早い,"RAG,生成AI,設計",P005,2025-05-15,中
KN0037,PJ011,BestPractice,[生成AIによる査定業務支援システム] Fabric導入時はドメイン単位でワークスペースを分割し、容量監視を初期から組み込む,Fabric導入時はドメイン単位でワークスペースを分割し、容量監視を初期から組み込む,"Fabric,運用,容量",P053,2024-09-28,高
KN0038,PJ011,Issue,[生成AIによる査定業務支援システム] 既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,"基幹,IF,テスト",P045,2024-09-27,高
KN0039,PJ012,BestPractice,[住民向けチャットボット構築] モデルの評価指標は、業務KPIと結びつけた形で先に決めておく,モデルの評価指標は、業務KPIと結びつけた形で先に決めておく,"機械学習,KPI,需要予測",P158,2025-06-09,中
KN0040,PJ012,LessonsLearned,[住民向けチャットボット構築] 現場用語の定義が曖昧なまま開発に入り、精度改善に想定外の工数がかかった,現場用語の定義が曖昧なまま開発に入り、精度改善に想定外の工数がかかった,"生成AI,製造,用語",P095,2025-03-31,高
KN0041,PJ012,LessonsLearned,[住民向けチャットボット構築] 顧客側データオーナーの合意形成に想定の2倍の期間を要した,顧客側データオーナーの合意形成に想定の2倍の期間を要した,"ガバナンス,合意形成",P158,2025-05-22,中
KN0042,PJ013,BestPractice,[配車計画最適化ソリューション導入] RAGの前処理とチャンク設計は、要件定義の段階で検証しておくと後の手戻りが少ない,RAGの前処理とチャンク設計は、要件定義の段階で検証しておくと後の手戻りが少ない,"RAG,生成AI,設計",P003,2025-02-13,高
KN0043,PJ013,BestPractice,[配車計画最適化ソリューション導入] 展開フェーズでは、部門の業務に合わせたガイドを個別に用意するとよい,展開フェーズでは、部門の業務に合わせたガイドを個別に用意するとよい,"生成AI,展開,定着",P113,2024-12-03,高
KN0044,PJ013,LessonsLearned,[配車計画最適化ソリューション導入] 本番移行にあたり、データ品質の要件を定義し直すことになった,本番移行にあたり、データ品質の要件を定義し直すことになった,"データ品質,PoC,移行",P144,2025-03-01,低
KN0045,PJ013,BestPractice,[配車計画最適化ソリューション導入] モデルの評価指標は、業務KPIと結びつけた形で先に決めておく,モデルの評価指標は、業務KPIと結びつけた形で先に決めておく,"機械学習,KPI,需要予測",P063,2024-12-13,中
KN0046,PJ014,BestPractice,[研究データ統合分析基盤の構築] 需要予測では、何をもって成功とするかを業務側の指標で先に合意しておく,需要予測では、何をもって成功とするかを業務側の指標で先に合意しておく,"機械学習,KPI,需要予測",P006,2024-02-29,高
KN0047,PJ014,Issue,[研究データ統合分析基盤の構築] 既存システムの連携仕様が更新されておらず、テスト工程で手戻りが集中した,既存システムの連携仕様が更新されておらず、テスト工程で手戻りが集中した,"基幹,IF,テスト",P115,2024-05-07,中
KN0048,PJ015,LessonsLearned,[店舗オペレーション標準化支援] PoCから本番移行時にデータ品質要件を再定義する必要があった,PoCから本番移行時にデータ品質要件を再定義する必要があった,"データ品質,PoC,移行",P145,2025-12-06,高
KN0049,PJ015,BestPractice,[店舗オペレーション標準化支援] 生成AIの品質は主観に流れやすいため、評価基準を文書で握っておく,生成AIの品質は主観に流れやすいため、評価基準を文書で握っておく,"生成AI,受入,品質",P185,2025-10-13,中
KN0050,PJ015,BestPractice,[店舗オペレーション標準化支援] ドメインごとにワークスペースを分離しておくと、容量の管理が現実的になる,ドメインごとにワークスペースを分離しておくと、容量の管理が現実的になる,"Fabric,運用,容量",P145,2025-11-08,高
KN0051,PJ015,BestPractice,[店舗オペレーション標準化支援] 需要予測では、何をもって成功とするかを業務側の指標で先に合意しておく,需要予測では、何をもって成功とするかを業務側の指標で先に合意しておく,"機械学習,KPI,需要予測",P145,2025-10-04,高
KN0052,PJ016,LessonsLearned,[品質データ分析基盤のPoC] 顧客側の合意形成にかかる期間を、当初の見積りの2倍で見ておくべきだった,顧客側の合意形成にかかる期間を、当初の見積りの2倍で見ておくべきだった,"ガバナンス,合意形成",P102,2025-11-12,中
KN0053,PJ016,LessonsLearned,[品質データ分析基盤のPoC] 用語辞書の整備を軽く見積もったため、検証フェーズで精度が伸び悩んだ,用語辞書の整備を軽く見積もったため、検証フェーズで精度が伸び悩んだ,"生成AI,製造,用語",P122,2025-12-02,中
KN0054,PJ016,BestPractice,[品質データ分析基盤のPoC] Fabricの容量は後から効いてくるため、監視の仕組みを最初に用意しておく,Fabricの容量は後から効いてくるため、監視の仕組みを最初に用意しておく,"Fabric,運用,容量",P102,2025-10-02,低
KN0055,PJ017,BestPractice,[エネルギー設備投資シミュレーション基盤] ワークスペースはドメイン単位で分け、容量の監視は導入初期から仕込んでおくとよい,ワークスペースはドメイン単位で分け、容量の監視は導入初期から仕込んでおくとよい,"Fabric,運用,容量",P020,2025-02-08,高
KN0056,PJ017,Issue,[エネルギー設備投資シミュレーション基盤] 権限まわりの設計が遅れ、検証環境をゼロから組み直す事態を招いた,権限まわりの設計が遅れ、検証環境をゼロから組み直す事態を招いた,"セキュリティ,Fabric,権限",P103,2024-11-23,低
KN0057,PJ018,Issue,[生産管理システム再構築] 既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,"基幹,IF,テスト",P195,2024-08-02,中
KN0058,PJ018,BestPractice,[生産管理システム再構築] 需要予測モデルは業務KPIと接続した評価指標を定義してから開発に着手する,需要予測モデルは業務KPIと接続した評価指標を定義してから開発に着手する,"機械学習,KPI,需要予測",P115,2024-06-23,中
KN0059,PJ018,LessonsLearned,[生産管理システム再構築] 略語や社内用語の揺れを吸収できず、検索が期待したとおりに当たらなかった,略語や社内用語の揺れを吸収できず、検索が期待したとおりに当たらなかった,"生成AI,製造,用語",P050,2024-08-05,中
KN0060,PJ018,BestPractice,[生産管理システム再構築] 全社共通のルールだけでは使われず、部門別の手引きを添えて定着した,全社共通のルールだけでは使われず、部門別の手引きを添えて定着した,"生成AI,展開,定着",P055,2024-07-04,高
KN0061,PJ018,Issue,[生産管理システム再構築] レイクハウスの権限設計を後追いで実施し、検証環境の再構築が発生した,レイクハウスの権限設計を後追いで実施し、検証環境の再構築が発生した,"セキュリティ,Fabric,権限",P055,2024-07-08,低
KN0062,PJ019,LessonsLearned,[Copilot活用による営業提案高度化] 現場用語の辞書整備が後手に回り、ナレッジ検索の精度が目標に届かなかった,現場用語の辞書整備が後手に回り、ナレッジ検索の精度が目標に届かなかった,"生成AI,製造,用語",P092,2025-10-23,高
KN0063,PJ019,BestPractice,[Copilot活用による営業提案高度化] 需要予測モデルは業務KPIと接続した評価指標を定義してから開発に着手する,需要予測モデルは業務KPIと接続した評価指標を定義してから開発に着手する,"機械学習,KPI,需要予測",P122,2025-10-07,高
KN0064,PJ020,LessonsLearned,[サプライチェーンリスク分析基盤] PoCから本番移行時にデータ品質要件を再定義する必要があった,PoCから本番移行時にデータ品質要件を再定義する必要があった,"データ品質,PoC,移行",P051,2025-07-22,中
KN0065,PJ020,Issue,[サプライチェーンリスク分析基盤] レイクハウスのアクセス制御を後から設計したため、環境の再構築が必要になった,レイクハウスのアクセス制御を後から設計したため、環境の再構築が必要になった,"セキュリティ,Fabric,権限",P086,2025-07-17,中
KN0066,PJ020,BestPractice,[サプライチェーンリスク分析基盤] モデルの評価指標は、業務KPIと結びつけた形で先に決めておく,モデルの評価指標は、業務KPIと結びつけた形で先に決めておく,"機械学習,KPI,需要予測",P148,2025-08-24,中
KN0067,PJ020,BestPractice,[サプライチェーンリスク分析基盤] RAG構成では前処理とチャンク設計の検証を要件定義段階で実施すると手戻りが減る,RAG構成では前処理とチャンク設計の検証を要件定義段階で実施すると手戻りが減る,"RAG,生成AI,設計",P196,2025-08-17,低
KN0068,PJ021,BestPractice,[生成AIプラットフォーム全社展開支援] 全社展開フェーズでは部門ごとに利用ガイドラインを分けると定着が早い,全社展開フェーズでは部門ごとに利用ガイドラインを分けると定着が早い,"生成AI,展開,定着",P137,2025-06-08,高
KN0069,PJ021,LessonsLearned,[生成AIプラットフォーム全社展開支援] データオーナーとの調整が想定以上に長引き、スケジュールを圧迫した,データオーナーとの調整が想定以上に長引き、スケジュールを圧迫した,"ガバナンス,合意形成",P081,2025-05-31,高
KN0070,PJ022,BestPractice,[販売分析データマート再構築] 全社共通のルールだけでは使われず、部門別の手引きを添えて定着した,全社共通のルールだけでは使われず、部門別の手引きを添えて定着した,"生成AI,展開,定着",P124,2024-10-25,低
KN0071,PJ022,LessonsLearned,[販売分析データマート再構築] 現場用語の辞書整備が後手に回り、ナレッジ検索の精度が目標に届かなかった,現場用語の辞書整備が後手に回り、ナレッジ検索の精度が目標に届かなかった,"生成AI,製造,用語",P154,2024-11-19,中
KN0072,PJ022,BestPractice,[販売分析データマート再構築] 生成AI案件では出力評価の基準表を顧客と合意し、受入条件に明記する,生成AI案件では出力評価の基準表を顧客と合意し、受入条件に明記する,"生成AI,受入,品質",P046,2024-11-07,低
KN0073,PJ022,Issue,[販売分析データマート再構築] レイクハウスのアクセス制御を後から設計したため、環境の再構築が必要になった,レイクハウスのアクセス制御を後から設計したため、環境の再構築が必要になった,"セキュリティ,Fabric,権限",P128,2024-12-15,中
KN0074,PJ023,Issue,[生成AIによる設計レビュー支援] レイクハウスの権限設計を後追いで実施し、検証環境の再構築が発生した,レイクハウスの権限設計を後追いで実施し、検証環境の再構築が発生した,"セキュリティ,Fabric,権限",P183,2025-04-25,高
KN0075,PJ023,Issue,[生成AIによる設計レビュー支援] 基幹側のインターフェース仕様書が古いままで、結合テストで問題が続出した,基幹側のインターフェース仕様書が古いままで、結合テストで問題が続出した,"基幹,IF,テスト",P020,2025-05-15,高
KN0076,PJ023,BestPractice,[生成AIによる設計レビュー支援] Fabric導入時はドメイン単位でワークスペースを分割し、容量監視を初期から組み込む,Fabric導入時はドメイン単位でワークスペースを分割し、容量監視を初期から組み込む,"Fabric,運用,容量",P073,2025-05-17,中
KN0077,PJ023,LessonsLearned,[生成AIによる設計レビュー支援] PoCから本番移行時にデータ品質要件を再定義する必要があった,PoCから本番移行時にデータ品質要件を再定義する必要があった,"データ品質,PoC,移行",P020,2025-05-25,高
KN0078,PJ024,BestPractice,[Fabricレイクハウス移行支援] RAGの前処理とチャンク設計は、要件定義の段階で検証しておくと後の手戻りが少ない,RAGの前処理とチャンク設計は、要件定義の段階で検証しておくと後の手戻りが少ない,"RAG,生成AI,設計",P167,2024-08-08,高
KN0079,PJ024,BestPractice,[Fabricレイクハウス移行支援] Fabric導入時はドメイン単位でワークスペースを分割し、容量監視を初期から組み込む,Fabric導入時はドメイン単位でワークスペースを分割し、容量監視を初期から組み込む,"Fabric,運用,容量",P001,2024-07-29,高
KN0080,PJ024,LessonsLearned,[Fabricレイクハウス移行支援] 現場用語の辞書整備が後手に回り、ナレッジ検索の精度が目標に届かなかった,現場用語の辞書整備が後手に回り、ナレッジ検索の精度が目標に届かなかった,"生成AI,製造,用語",P001,2024-05-14,低
KN0081,PJ024,BestPractice,[Fabricレイクハウス移行支援] 精度だけを追うのではなく、業務KPIに接続した指標を定義してから開発に入る,精度だけを追うのではなく、業務KPIに接続した指標を定義してから開発に入る,"機械学習,KPI,需要予測",P020,2024-05-02,低
KN0082,PJ025,BestPractice,[需要予測基盤の本番展開] 利用ガイドラインを部門ごとに用意したほうが、現場での定着は早い,利用ガイドラインを部門ごとに用意したほうが、現場での定着は早い,"生成AI,展開,定着",P144,2025-04-04,高
KN0083,PJ025,BestPractice,[需要予測基盤の本番展開] ワークスペースはドメイン単位で分け、容量の監視は導入初期から仕込んでおくとよい,ワークスペースはドメイン単位で分け、容量の監視は導入初期から仕込んでおくとよい,"Fabric,運用,容量",P144,2025-02-03,中
KN0084,PJ025,Issue,[需要予測基盤の本番展開] 既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,"基幹,IF,テスト",P093,2024-12-09,高
KN0085,PJ026,BestPractice,[生成AIによる保全ナレッジ検索] 精度だけを追うのではなく、業務KPIに接続した指標を定義してから開発に入る,精度だけを追うのではなく、業務KPIに接続した指標を定義してから開発に入る,"機械学習,KPI,需要予測",P183,2024-03-16,高
KN0086,PJ026,LessonsLearned,[生成AIによる保全ナレッジ検索] 顧客側データオーナーの合意形成に想定の2倍の期間を要した,顧客側データオーナーの合意形成に想定の2倍の期間を要した,"ガバナンス,合意形成",P195,2024-05-14,中
KN0087,PJ026,BestPractice,[生成AIによる保全ナレッジ検索] RAG案件では、前処理方式の検証を設計より前に置くほうが結果的に早い,RAG案件では、前処理方式の検証を設計より前に置くほうが結果的に早い,"RAG,生成AI,設計",P195,2024-03-03,中
KN0088,PJ027,Issue,[顧客データ統合基盤の構築] レイクハウスの権限設計を後追いで実施し、検証環境の再構築が発生した,レイクハウスの権限設計を後追いで実施し、検証環境の再構築が発生した,"セキュリティ,Fabric,権限",P103,2024-11-01,中
KN0089,PJ027,BestPractice,[顧客データ統合基盤の構築] ドメインごとにワークスペースを分離しておくと、容量の管理が現実的になる,ドメインごとにワークスペースを分離しておくと、容量の管理が現実的になる,"Fabric,運用,容量",P103,2024-09-30,低
KN0090,PJ028,BestPractice,[AIOps導入による運用高度化] チャンク設計の妥当性を早期に検証することが、RAG案件の手戻り防止につながる,チャンク設計の妥当性を早期に検証することが、RAG案件の手戻り防止につながる,"RAG,生成AI,設計",P097,2025-02-26,高
KN0091,PJ028,LessonsLearned,[AIOps導入による運用高度化] 顧客側データオーナーの合意形成に想定の2倍の期間を要した,顧客側データオーナーの合意形成に想定の2倍の期間を要した,"ガバナンス,合意形成",P112,2025-01-25,中
KN0092,PJ028,BestPractice,[AIOps導入による運用高度化] ドメインごとにワークスペースを分離しておくと、容量の管理が現実的になる,ドメインごとにワークスペースを分離しておくと、容量の管理が現実的になる,"Fabric,運用,容量",P190,2025-02-04,高
KN0093,PJ029,Issue,[生成AIによる文書点検自動化] レイクハウスのアクセス制御を後から設計したため、環境の再構築が必要になった,レイクハウスのアクセス制御を後から設計したため、環境の再構築が必要になった,"セキュリティ,Fabric,権限",P009,2024-02-08,高
KN0094,PJ029,Issue,[生成AIによる文書点検自動化] 既存システムの連携仕様が更新されておらず、テスト工程で手戻りが集中した,既存システムの連携仕様が更新されておらず、テスト工程で手戻りが集中した,"基幹,IF,テスト",P009,2024-03-05,高
KN0095,PJ029,BestPractice,[生成AIによる文書点検自動化] 利用ガイドラインを部門ごとに用意したほうが、現場での定着は早い,利用ガイドラインを部門ごとに用意したほうが、現場での定着は早い,"生成AI,展開,定着",P009,2024-02-23,中
KN0096,PJ029,BestPractice,[生成AIによる文書点検自動化] Fabricの容量は後から効いてくるため、監視の仕組みを最初に用意しておく,Fabricの容量は後から効いてくるため、監視の仕組みを最初に用意しておく,"Fabric,運用,容量",P009,2024-03-31,高
KN0097,PJ030,BestPractice,[経営管理データ基盤の刷新] 生成AI案件では出力評価の基準表を顧客と合意し、受入条件に明記する,生成AI案件では出力評価の基準表を顧客と合意し、受入条件に明記する,"生成AI,受入,品質",P155,2024-05-22,中
KN0098,PJ030,Issue,[経営管理データ基盤の刷新] 権限設計を後回しにした結果、検証環境を作り直すことになった,権限設計を後回しにした結果、検証環境を作り直すことになった,"セキュリティ,Fabric,権限",P187,2024-05-04,中
KN0099,PJ030,LessonsLearned,[経営管理データ基盤の刷新] PoCから本番移行時にデータ品質要件を再定義する必要があった,PoCから本番移行時にデータ品質要件を再定義する必要があった,"データ品質,PoC,移行",P155,2024-03-08,高
KN0100,PJ030,LessonsLearned,[経営管理データ基盤の刷新] データオーナーとの調整が想定以上に長引き、スケジュールを圧迫した,データオーナーとの調整が想定以上に長引き、スケジュールを圧迫した,"ガバナンス,合意形成",P086,2024-03-24,高
KN0101,PJ031,BestPractice,[販売実績ダッシュボードの統合] 生成AI案件では出力評価の基準表を顧客と合意し、受入条件に明記する,生成AI案件では出力評価の基準表を顧客と合意し、受入条件に明記する,"生成AI,受入,品質",P198,2025-08-31,高
KN0102,PJ031,LessonsLearned,[販売実績ダッシュボードの統合] 顧客側の合意形成にかかる期間を、当初の見積りの2倍で見ておくべきだった,顧客側の合意形成にかかる期間を、当初の見積りの2倍で見ておくべきだった,"ガバナンス,合意形成",P127,2025-09-13,低
KN0103,PJ031,LessonsLearned,[販売実績ダッシュボードの統合] 用語辞書の整備を軽く見積もったため、検証フェーズで精度が伸び悩んだ,用語辞書の整備を軽く見積もったため、検証フェーズで精度が伸び悩んだ,"生成AI,製造,用語",P198,2025-10-24,高
KN0104,PJ032,BestPractice,[原価管理レポートの標準化] チャンク設計の妥当性を早期に検証することが、RAG案件の手戻り防止につながる,チャンク設計の妥当性を早期に検証することが、RAG案件の手戻り防止につながる,"RAG,生成AI,設計",P152,2025-07-24,低
KN0105,PJ032,LessonsLearned,[原価管理レポートの標準化] PoCから本番移行時にデータ品質要件を再定義する必要があった,PoCから本番移行時にデータ品質要件を再定義する必要があった,"データ品質,PoC,移行",P080,2025-08-09,高
KN0106,PJ032,Issue,[原価管理レポートの標準化] 権限まわりの設計が遅れ、検証環境をゼロから組み直す事態を招いた,権限まわりの設計が遅れ、検証環境をゼロから組み直す事態を招いた,"セキュリティ,Fabric,権限",P101,2025-06-28,中
KN0107,PJ032,BestPractice,[原価管理レポートの標準化] 展開フェーズでは、部門の業務に合わせたガイドを個別に用意するとよい,展開フェーズでは、部門の業務に合わせたガイドを個別に用意するとよい,"生成AI,展開,定着",P113,2025-06-27,低
KN0108,PJ032,Issue,[原価管理レポートの標準化] 既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,既存基幹システムのIF仕様が最新化されておらず、結合テストで不具合が集中した,"基幹,IF,テスト",P113,2025-08-15,高
KN0109,PJ033,BestPractice,[経営KPIの可視化基盤構築] 需要予測モデルは業務KPIと接続した評価指標を定義してから開発に着手する,需要予測モデルは業務KPIと接続した評価指標を定義してから開発に着手する,"機械学習,KPI,需要予測",P078,2025-04-29,低
KN0110,PJ033,Issue,[経営KPIの可視化基盤構築] レイクハウスのアクセス制御を後から設計したため、環境の再構築が必要になった,レイクハウスのアクセス制御を後から設計したため、環境の再構築が必要になった,"セキュリティ,Fabric,権限",P078,2025-03-05,低
KN0111,PJ033,LessonsLearned,[経営KPIの可視化基盤構築] 顧客側データオーナーの合意形成に想定の2倍の期間を要した,顧客側データオーナーの合意形成に想定の2倍の期間を要した,"ガバナンス,合意形成",P170,2025-04-27,中
